net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
FE_OFN18_n_2111,0.0846169,39.514964,16.284764000000003,0.0,0.8979999999999999,0.536,2,0.0,0.0,0.0,0.0,0.0,16.51747686567164,58.19943840598807,-58.19943840598807,1.4290220335501136,39.74567686567164,0.5838620166062698,0.5838620166062698,Q1
FE_OFN19_i_tv80_core_ALU_Op_r_2,1.25679,279.61762000000004,131.51601999999997,2.27,1.9739999999999995,5.946999999999999,6,6.0,0.0,0.0,0.0,0.0,130.43293697910445,53.353105223088434,-53.353105223088434,0.8235369507802283,278.52853697910444,0.38949012615714285,-0.38949012615714285,Q4
FE_OFN1_i_tv80_core_i_mcode_n_13205,5.91571,921.3109999999997,552.4983000000001,8.356000000000002,2.288,4.122,7,7.0,15.89,10.808000000000002,5.0,10.0,552.0460356858661,40.08038157735376,-40.08038157735376,0.08185804628431015,920.8517356858661,0.0498489993209279,-0.0498489993209279,Q4
FE_OFN20_n_1850,0.241667,107.26923699999999,33.218437,0.8200000000000001,1.032,0.895,3,3.0,0.0,0.0,0.0,0.0,33.86079366567164,68.43382631157183,-68.43382631157183,1.9337353701248547,107.90859366567165,0.5960298437395019,0.5960298437395019,Q2
FE_OFN21_i_tv80_core_ALU_Op_r_1,0.589309,106.67002799999999,57.302827999999984,1.4500000000000002,0.718,2.17,2,2.0,0.0,0.0,0.0,0.0,56.04800976119404,47.45664662130393,-47.45664662130393,2.189801590256499,105.41320976119404,1.17822996990865,-1.17822996990865,Q2
FE_OFN23_i_tv80_core_BusA_3,3.6474,693.078134,404.1298339999998,6.752,4.908,4.148,8,9.0,3.97,9.358000000000002,4.0,2.0,379.10778250832414,45.30085946870686,-45.30085946870686,6.1915873035188165,668.0480825083241,3.6114328621534413,-3.6114328621534413,Q4
FE_OFN2443_n_588,3.69165,807.2401659999998,397.780666,8.304,4.710000000000001,7.792999999999997,15,14.0,0.0,10.46,4.0,0.0,408.51431872716415,49.39370760607516,-49.39370760607516,2.698384724199782,817.9588187271642,1.327814593304608,1.327814593304608,Q4
FE_OFN2444_n_64,0.560494,120.06026000000001,59.077960000000004,2.35,1.1219999999999999,1.2160000000000002,3,2.0,0.0,0.0,0.0,0.0,59.92190241791045,50.090144384236346,-50.090144384236346,1.4285232900906661,120.90120241791045,0.7004336138456142,0.7004336138456142,Q2
FE_OFN2447_i_tv80_core_i_mcode_n_12691,5.23987,854.38889,503.00489,5.8519999999999985,3.1400000000000006,7.066999999999996,10,9.0,17.03,4.912,4.0,5.0,500.6531771044674,41.40219015436081,-41.40219015436081,0.46753280977698136,852.0271771044673,0.27642130219326766,-0.27642130219326766,Q4
FE_OFN2449_n_2045,8.97484,1255.0209280000008,873.1397280000003,10.997999999999998,2.468,2.2639999999999993,7,7.0,22.390000000000004,28.848000000000003,9.0,7.0,898.1356101450349,28.43660291973758,-28.43660291973758,2.8627585417845682,1280.0098101450349,1.9911127844582066,1.9911127844582066,Q4
